name,uce_site,aln_site,window_start,window_stop,type,value,plot_mtx
chr_2828,-188,0,50,259,entropy,-0.0,-1
chr_2828,-187,1,50,259,entropy,0.503258334776,-1
chr_2828,-186,2,50,259,entropy,-0.0,-1
chr_2828,-185,3,50,259,entropy,-0.0,-1
chr_2828,-184,4,50,259,entropy,1.83659166811,-1
chr_2828,-183,5,50,259,entropy,-0.0,-1
chr_2828,-182,6,50,259,entropy,-0.0,-1
chr_2828,-181,7,50,259,entropy,-0.0,-1
chr_2828,-180,8,50,259,entropy,-0.0,-1
chr_2828,-179,9,50,259,entropy,-0.0,-1
chr_2828,-178,10,50,259,entropy,0.503258334776,-1
chr_2828,-177,11,50,259,entropy,0.764204506509,-1
chr_2828,-176,12,50,259,entropy,0.986426728731,-1
chr_2828,-175,13,50,259,entropy,-0.0,-1
chr_2828,-174,14,50,259,entropy,-0.0,-1
chr_2828,-173,15,50,259,entropy,1.22439444541,-1
chr_2828,-172,16,50,259,entropy,0.986426728731,-1
chr_2828,-171,17,50,259,entropy,0.764204506509,-1
chr_2828,-170,18,50,259,entropy,0.764204506509,-1
chr_2828,-169,19,50,259,entropy,-0.0,-1
chr_2828,-168,20,50,259,entropy,0.503258334776,-1
chr_2828,-167,21,50,259,entropy,0.986426728731,-1
chr_2828,-166,22,50,259,entropy,0.764204506509,-1
chr_2828,-165,23,50,259,entropy,0.764204506509,-1
chr_2828,-164,24,50,259,entropy,0.503258334776,-1
chr_2828,-163,25,50,259,entropy,0.986426728731,-1
chr_2828,-162,26,50,259,entropy,-0.0,-1
chr_2828,-161,27,50,259,entropy,-0.0,-1
chr_2828,-160,28,50,259,entropy,-0.0,-1
chr_2828,-159,29,50,259,entropy,-0.0,-1
chr_2828,-158,30,50,259,entropy,-0.0,-1
chr_2828,-157,31,50,259,entropy,-0.0,-1
chr_2828,-156,32,50,259,entropy,-0.0,-1
chr_2828,-155,33,50,259,entropy,-0.0,-1
chr_2828,-154,34,50,259,entropy,-0.0,-1
chr_2828,-153,35,50,259,entropy,-0.0,-1
chr_2828,-152,36,50,259,entropy,-0.0,-1
chr_2828,-151,37,50,259,entropy,-0.0,-1
chr_2828,-150,38,50,259,entropy,-0.0,-1
chr_2828,-149,39,50,259,entropy,-0.0,-1
chr_2828,-148,40,50,259,entropy,0.970950594455,-1
chr_2828,-147,41,50,259,entropy,-0.0,-1
chr_2828,-146,42,50,259,entropy,0.970950594455,-1
chr_2828,-145,43,50,259,entropy,0.468995593589,-1
chr_2828,-144,44,50,259,entropy,0.881290899231,-1
chr_2828,-143,45,50,259,entropy,1.0,-1
chr_2828,-142,46,50,259,entropy,-0.0,-1
chr_2828,-141,47,50,259,entropy,-0.0,-1
chr_2828,-140,48,50,259,entropy,1.0,-1
chr_2828,-139,49,50,259,entropy,-0.0,-1
chr_2828,-138,50,50,259,entropy,-0.0,0
chr_2828,-137,51,50,259,entropy,-0.0,0
chr_2828,-136,52,50,259,entropy,-0.0,0
chr_2828,-135,53,50,259,entropy,-0.0,0
chr_2828,-134,54,50,259,entropy,-0.0,0
chr_2828,-133,55,50,259,entropy,-0.0,0
chr_2828,-132,56,50,259,entropy,-0.0,0
chr_2828,-131,57,50,259,entropy,-0.0,0
chr_2828,-130,58,50,259,entropy,-0.0,0
chr_2828,-129,59,50,259,entropy,-0.0,0
chr_2828,-128,60,50,259,entropy,-0.0,0
chr_2828,-127,61,50,259,entropy,-0.0,0
chr_2828,-126,62,50,259,entropy,0.468995593589,0
chr_2828,-125,63,50,259,entropy,-0.0,0
chr_2828,-124,64,50,259,entropy,-0.0,0
chr_2828,-123,65,50,259,entropy,-0.0,0
chr_2828,-122,66,50,259,entropy,0.721928094887,0
chr_2828,-121,67,50,259,entropy,-0.0,0
chr_2828,-120,68,50,259,entropy,-0.0,0
chr_2828,-119,69,50,259,entropy,-0.0,0
chr_2828,-118,70,50,259,entropy,0.468995593589,0
chr_2828,-117,71,50,259,entropy,0.881290899231,0
chr_2828,-116,72,50,259,entropy,0.721928094887,0
chr_2828,-115,73,50,259,entropy,-0.0,0
chr_2828,-114,74,50,259,entropy,-0.0,0
chr_2828,-113,75,50,259,entropy,-0.0,0
chr_2828,-112,76,50,259,entropy,-0.0,0
chr_2828,-111,77,50,259,entropy,-0.0,0
chr_2828,-110,78,50,259,entropy,-0.0,0
chr_2828,-109,79,50,259,entropy,-0.0,0
chr_2828,-108,80,50,259,entropy,-0.0,0
chr_2828,-107,81,50,259,entropy,-0.0,0
chr_2828,-106,82,50,259,entropy,0.970950594455,0
chr_2828,-105,83,50,259,entropy,-0.0,0
